,type,title,director,cast,country,release_year,rating,duration,listed_in
6623,Movie,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Søren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom",2019,R,89 min,"International Movies, Thrillers"
6626,Movie,Don't Be Afraid of the Dark,Troy Nixey,"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro","United States, Australia, Mexico",2010,R,99 min,Horror Movies
6632,Movie,Don't Think Twice,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Chris Gethard, Richard Masur, Tami Sagher, Erin Darke",United States,2016,R,92 min,"Comedies, Dramas, Independent Movies"
6633,Movie,Donnie Brasco,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Zeljko Ivanek, Gerry Becker, Robert Miano, Zach Grenier",United States,1997,R,127 min,"Dramas, Thrillers"
6634,Movie,Doom,Andrzej Bartkowiak,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei, Ben Daniels, Razaaq Adoti, Richard Brake, Dexter Fletcher, Al Weaver, Brian Steele","United Kingdom, Czech Republic, Germany, United States",2005,R,105 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
6670,Movie,El último testigo,Philipp Stölzl,"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon, Yassine Fadel, Neil Napier, David Bark-Jones, Alexander Fehling, Nick Alachiotis, Jade Hassouné","United States, Canada, Belgium, United Kingdom",2012,R,105 min,Action & Adventure
6682,Movie,Elizabeth Harvest,Sebastian Gutierrez,"Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, Dylan Baker",United States,2019,R,109 min,"Dramas, Sci-Fi & Fantasy"
6696,Movie,End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",United States,2012,R,109 min,Action & Adventure
6701,Movie,Enter the Dragon,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih, Robert Wall, Angela Mao, Betty Chung, Geoffrey Weeks, Bolo Yeung, Peter Archer","Hong Kong, United States",1973,R,103 min,"Action & Adventure, Classic Movies"
6703,Movie,Equilibrium,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen, Sean Bean, Sean Pertwee, Matthew Harbour, William Fichtner",United States,2002,R,107 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
6711,Movie,Event Horizon,Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee","United Kingdom, United States",1997,R,96 min,"Horror Movies, Sci-Fi & Fantasy"
6719,Movie,Executive Decision,Stuart Baird,"Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley",United States,1996,R,133 min,Action & Adventure
6721,Movie,Exit Strategy,Michael Whitton,"Jameel Saleem, Kimelia Weathers, Quincy Harris, Big Boy, Kevin Hart, Misty Alli, Noelle Balfour, Sid Burston, Carlos Castillo, Liz Hernandez, Nick Sinise",United States,2012,NR,79 min,"Comedies, Romantic Movies"
6722,Movie,Exit Wounds,Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes",United States,2001,R,101 min,Action & Adventure
6735,Movie,Fallen,Gregory Hoblit,"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas, Gabriel Casseus, Michael J. Pagan, Robert Joy",United States,1998,R,124 min,Thrillers
6743,Movie,Fear and Loathing in Las Vegas,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Ellen Barkin, Gary Busey, Christina Ricci, Mark Harmon, Cameron Diaz, Katherine Helmond, Michael Jeter, Craig Bierko, Lyle Lovett, Flea, Christopher Meloni, Harry Dean Stanton, Tim Thomerson",United States,1998,R,118 min,"Comedies, Cult Movies, Dramas"
6753,Movie,Final Destination,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke, Seann William Scott, Tony Todd, Daniel Roebuck, Chad Donella, Roger Guenveur Smith, Amanda Detmer",United States,2000,R,98 min,"Cult Movies, Horror Movies, Thrillers"
6754,Movie,Final Destination 2,David R. Ellis,"Ali Larter, A.J. Cook, Michael Landes, Terrence 'T.C.' Carson, Jonathan Cherry, Keegan Connor Tracy, Sarah Carter, Lynda Boyd, David Paetkau, Justina Machado","United States, Canada",2003,R,90 min,"Horror Movies, Thrillers"
6755,Movie,Final Destination 3,James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Sam Easton, Jesse Moss, Gina Holden, Texas Battle, Chelan Simmons, Crystal Lowe, Amanda Crew","United States, Germany",2006,R,93 min,Horror Movies
6759,Movie,First Kill,Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye","United Kingdom, Canada, United States",2017,R,102 min,Action & Adventure
6762,Movie,Fishtail,Andrew Renzi,Harry Dean Stanton,United States,2015,NR,61 min,Documentaries
6776,Movie,For Colored Girls,Tyler Perry,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton, Anika Noni Rose, Kerry Washington, Tessa Thompson, Phylicia Rashad, Whoopi Goldberg, Omari Hardwick, Macy Gray, Michael Ealy, Richard Lawson, Hill Harper, Khalil Kain",United States,2010,R,134 min,Dramas
6793,Movie,Fracture,Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Billy Burke, Cliff Curtis, Fiona Shaw, Bob Gunton, Josh Stamberg","United States, Germany",2007,R,113 min,"Dramas, Thrillers"
6794,Movie,Frances Ha,Noah Baumbach,"Greta Gerwig, Mickey Sumner, Charlotte d'Amboise, Adam Driver, Hannah Dunne, Michael Esper, Grace Gummer, Patrick Heusinger, Josh Hamilton, Cindy Katz, Maya Kazan, Justine Lupe, Britta Phillips, Juliet Rylance, Dean Wareham, Michael Zegen","United States, Brazil",2012,R,86 min,"Comedies, Dramas, Independent Movies"
6799,Movie,Freeway: Crack in the System,Marc Levin,Freeway Rick Ross,"United States, Nicaragua",2015,R,103 min,Documentaries
6804,Movie,Friday the 13th,Marcus Nispel,"Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle, Aaron Yoo, Derek Mears, Jonathan Sadowski, Julianna Guill, Ben Feldman, Arlen Escarpeta, Ryan Hansen",United States,2009,R,97 min,Horror Movies
6808,Movie,From Paris with Love,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin, Amber Rose Revah, Eric Godon, François Bredon, Chems Dahmani, Sami Darr, Didier Constant","France, United Kingdom, United States",2010,R,93 min,"Action & Adventure, International Movies"
6813,Movie,Frozen River,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe, Mark Boone Junior, James Reilly, Jay Klaitz, John Canoe, Dylan Carusona, Michael Sky",United States,2008,R,97 min,"Dramas, Independent Movies"
6826,Movie,Gangs of New York,Martin Scorsese,"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly, Henry Thomas, Liam Neeson, Brendan Gleeson, Gary Lewis, Stephen Graham","United States, Italy",2002,R,167 min,Dramas
6839,Movie,Get Him to the Greek,Nicholas Stoller,"Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne, Colm Meaney, Sean ""P. Diddy"" Combs, Aziz Ansari, Carla Gallo, Nick Kroll, Kristen Schaal",United States,2010,R,109 min,"Comedies, Music & Musicals"
6872,Movie,Gone are the Days,Mark Landre Gould,"Lance Henriksen, Tom Berenger, Meg Steedle, Danny Trejo",United States,2018,R,100 min,Independent Movies
6874,Movie,Good Kids,Chris McCoy,"Nicholas Braun, Zoey Deutch, Mateo Arias, Israel Broussard, Dayo Okeniyi, Julia Garner, Kevin Chapman, Ashley Judd",United States,2016,R,90 min,"Comedies, Independent Movies"
6875,Movie,Good Kill,Andrew Niccol,"Ethan Hawke, January Jones, Bruce Greenwood, Zoë Kravitz, Jake Abel, Ryan Montano, Dylan Kenin, Stafford Douglas",United States,2014,R,103 min,Dramas
6879,Movie,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",2014,R,90 min,"Action & Adventure, Thrillers"
6880,Movie,GoodFellas,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low",United States,1990,R,145 min,"Classic Movies, Dramas"
6882,Movie,Goon,Michael Dowse,"Seann William Scott, Jay Baruchel, Liev Schreiber, Alison Pill, Marc-André Grondin, Kim Coates, Eugene Levy, Nicholas Campbell, Richard Clarkin, Jonathan Cherry","United States, Canada",2011,R,92 min,"Comedies, Sports Movies"
6884,Movie,Gosford Park,Robert Altman,"Eileen Atkins, Bob Balaban, Alan Bates, Charles Dance, Stephen Fry, Michael Gambon, Richard E. Grant, Tom Hollander, Derek Jacobi, Kelly Macdonald, Helen Mirren, Jeremy Northam, Clive Owen, Ryan Phillippe, Maggie Smith, Geraldine Somerville, Kristin Scott Thomas, Sophie Thompson, Emily Watson, James Wilby","United States, United Kingdom, Italy",2001,R,137 min,"Comedies, Dramas, International Movies"
6886,Movie,Gothika,Mathieu Kassovitz,"Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch, Bernard Hill, Penélope Cruz, Dorian Harewood, Bronwen Mantel","United States, France, Canada, Spain",2003,R,98 min,"Horror Movies, Thrillers"
6888,Movie,Gran Torino,Clint Eastwood,"Clint Eastwood, Bee Vang, Ahney Her, Christopher Carley, John Carroll Lynch, Brian Haley, Geraldine Hughes, Brian Howe, William Hill, Dreama Walker","Germany, United States",2008,R,117 min,Dramas
6896,Movie,Green Room,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Patrick Stewart, Alia Shawkat, Joe Cole, Callum Turner, Macon Blair, David W. Thompson, Mark Webber, Eric Edelstein, Kai Lennox",United States,2015,R,95 min,"Horror Movies, Thrillers"
6913,Movie,Hamburger Hill,John Irvin,"Anthony Barille, Michael Boatman, Don Cheadle, Michael Dolan, Don James, Dylan McDermott, Michael A. Nickles, Harry O'Reilly, Daniel O'Shea, Tim Quill, Tommy Swerdlow, Courtney B. Vance, Steven Weber, Tegan West",United States,1987,R,110 min,"Action & Adventure, Dramas"
6915,Movie,Hangman,Johnny Martin,"Al Pacino, Karl Urban, Brittany Snow, Joe Anderson, Sarah Shahi, Sloane Warren, Chelle Ramos, Steve Coulter, Michael Rose",United States,2017,R,99 min,Thrillers
6925,Movie,Hardcore Henry,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Andrey Dementiev, Dasha Charusha, Svetlana Ustinova, Tim Roth, Ilya Naishuller","Russia, United States, China",2015,R,96 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
6927,Movie,Harold & Kumar Escape from Guantanamo Bay,"Jon Hurwitz, Hayden Schlossberg","John Cho, Kal Penn, Rob Corddry, Jack Conley, Roger Bart, Neil Patrick Harris, Danneel Ackles, Eric Winter, Paula Garcés, Jon Reep, Missi Pyle",United States,2008,R,101 min,"Comedies, Cult Movies"
6928,Movie,Harold & Kumar Go to White Castle,Danny Leiner,"John Cho, Kal Penn, Paula Garcés, Neil Patrick Harris, David Krumholtz, Eddie Kaye Thomas, Christopher Meloni, Ryan Reynolds, Fred Willard","United States, Canada, Germany",2004,R,88 min,"Comedies, Cult Movies"
6934,Movie,Harry Benson: Shoot First,"Justin Bare, Matthew Miele",Harry Benson,United States,2016,NR,90 min,Documentaries
6943,Movie,Haywire,Steven Soderbergh,"Gina Carano, Michael Fassbender, Ewan McGregor, Bill Paxton, Channing Tatum, Antonio Banderas, Mathieu Kassovitz, Michael Angarano, Michael Douglas, Anthony Brandon Wong","Ireland, United States",2011,R,93 min,Action & Adventure
6945,Movie,He's Out There,Quinn Lasher,"Yvonne Strahovski, Anna Pniowsky, Abigail Pniowsky, Ryan McDonald, Justin Bruening, Julian Bailey",United States,2018,R,89 min,"Horror Movies, Thrillers"
6954,Movie,Hell and Back,"Tom Gianas, Ross R. Shuman","Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,2015,R,86 min,"Action & Adventure, Comedies, Independent Movies"
6956,Movie,Hell or High Water,David Mackenzie,"Jeff Bridges, Chris Pine, Ben Foster, Gil Birmingham, Marin Ireland, Katy Mixon, Dale Dickey, Kevin Rankin, William Sterchi",United States,2016,R,102 min,"Dramas, Independent Movies"
6958,Movie,Her,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Amy Adams, Rooney Mara, Olivia Wilde, Chris Pratt, Matt Letscher, Portia Doubleday",United States,2013,R,126 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
6997,Movie,Horns,Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson, Kelli Garner, Heather Graham, David Morse, Kathleen Quinlan, James Remar","United States, Canada",2013,R,120 min,"Dramas, Horror Movies, Sci-Fi & Fantasy"
7002,Movie,Hostiles,Scott Cooper,"Christian Bale, Rosamund Pike, Wes Studi, Jesse Plemons, Timothée Chalamet, Ben Foster, Adam Beach, Rory Cochrane, Peter Mullan, Scott Wilson, Paul Anderson, Jonathan Majors, John Benjamin Hickey, Q'orianka Kilcher, Ryan Bingham",United States,2017,R,134 min,Dramas
7003,Movie,Hot Bot,Michael Polish,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson, Anthony Anderson, David Shackelford, Donald Faison, Angela Kinsey, Kirby Bliss Blanton, John Robinson",United States,2016,NR,93 min,Comedies
7015,Movie,How to Be a Player,Lionel C. Martin,"Bill Bellamy, Natalie Desselle, Lark Voorhies, Mari Morrow, Pierre Edwards, Jermaine 'Huggy' Hopkins, Anthony Johnson, Max Julien, Beverly Johnson, Gilbert Gottfried, Bernie Mac",United States,1997,R,94 min,Comedies
7027,Movie,Hunter's Prayer,Jonathan Mostow,"Sam Worthington, Odeya Rush, Amy Landecker, Allen Leech, Verónica Echegui","United States, Spain, Germany",2015,R,91 min,"Action & Adventure, Independent Movies"
7032,Movie,Hustle & Flow,Craig Brewer,"Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes",United States,2005,R,117 min,"Dramas, Independent Movies, Music & Musicals"
7043,Movie,I Am Wrath,Chuck Russell,"John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell, Patrick St. Esprit, Rebecca De Mornay, Asante Jones, Paul Sloan, Luis Da Silva Jr., Jordan Whalen",United States,2016,R,91 min,"Action & Adventure, Dramas"
7056,Movie,Iliza Shlesinger: War Paint,Jay Chapman,Iliza Shlesinger,United States,2013,NR,75 min,Stand-Up Comedy
7060,Movie,In Search of Fellini,Taron Lexton,"Ksenia Solo, Mary Lynn Rajskub, Maria Bello, Enrico Oetiker, Paolo Bernardini, Beth Riesgraf, David O'Donnell, Nancy Cartwright, Bruno Zanin, Michael Wiseman, Andrea Osvárt",United States,2017,R,103 min,"Action & Adventure, Dramas"
7065,Movie,Inconceivable,Jonathan Baker,"Gina Gershon, Faye Dunaway, Nicolas Cage, Nicky Whelan, Natalie Eva Marie, Jonathan Baker, James Van Patten","United Kingdom, United States",2017,R,106 min,Thrillers
7077,Movie,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Sylvester Groth, Martin Wuttke","Germany, United States",2009,R,153 min,Action & Adventure
7107,Movie,Iverson,Zatella Beatty,Allen Iverson,United States,2014,NR,88 min,"Documentaries, Sports Movies"
7113,Movie,Jackie Brown,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, LisaGay Hamilton, Tommy 'Tiny' Lister, Hattie Winston, Sid Haig",United States,1997,R,154 min,"Dramas, Thrillers"
7121,Movie,Jay and Silent Bob Strike Back,Kevin Smith,"Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach, Will Ferrell, Jason Lee",United States,2001,R,105 min,"Comedies, Cult Movies"
7126,Movie,Jersey Boys,Clint Eastwood,"John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza, Christopher Walken, Mike Doyle, Renée Marino, Erica Piccininni, Joey Russo, Donnie Kehr, Katherine Narducci, Steve Schirripa",United States,2014,R,134 min,"Dramas, Music & Musicals"
7130,Movie,Jimi Hendrix,Joe Boyd,"Jimi Hendrix, Eric Clapton, Billy Cox",United States,1973,R,102 min,"Documentaries, Music & Musicals"
7150,Movie,Junebug,Phil Morrison,"Amy Adams, Embeth Davidtz, Ben McKenzie, Alessandro Nivola, Frank Hoyt Taylor, Celia Weston, Scott Wilson, Jill Wagner, Victoria Jackson, Chuck Russell, Jerry Minor, Matt Besser",United States,2005,R,107 min,"Comedies, Dramas, Independent Movies"
7172,Movie,Katt Williams: Live,Alphonso J. Wesson,Katt Williams,United States,2006,NR,85 min,Stand-Up Comedy
7178,Movie,Kevin Hart: Laugh at My Pain,"Leslie Small, Tim Story",Kevin Hart,United States,2011,R,89 min,Stand-Up Comedy
7179,Movie,Kevin Hart: Let Me Explain,"Leslie Small, Tim Story",Kevin Hart,United States,2013,R,75 min,Stand-Up Comedy
7191,Movie,Kickboxer: Retaliation,Dimitri Logothetis,"Alain Moussi, Jean-Claude Van Damme, Mike Tyson, Christopher Lambert, Sara Malakul Lane, Hafþór Júlíus Björnsson, Sam Medina, Steven Swadling",United States,2017,R,110 min,Action & Adventure
7193,Movie,Kicking and Screaming,Noah Baumbach,"Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould",United States,1995,R,97 min,"Comedies, Independent Movies, Romantic Movies"
7195,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",2015,R,95 min,"Action & Adventure, Dramas, International Movies"
7197,Movie,Kill Bill: Vol. 1,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen, Julie Dreyfus, Chiaki Kuriyama, Sonny Chiba, Gordon Liu","United States, Japan",2003,R,111 min,Action & Adventure
7198,Movie,Kill Bill: Vol. 2,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Gordon Liu, Michael Parks, Perla Haney-Jardine, Helen Kim, Claire Smithies, Clark Middleton",United States,2004,R,137 min,Action & Adventure
7202,Movie,Kill the Irishman,Jonathan Hensleigh,"Ray Stevenson, Vincent D'Onofrio, Val Kilmer, Christopher Walken, Linda Cardellini, Fionnula Flanagan, Jason Butler Harner, Vinnie Jones, Paul Sorvino, Marcus Thomas, Tony Darrow",United States,2011,R,106 min,"Action & Adventure, Dramas, Independent Movies"
7207,Movie,King Jack,Felix Thompson,"Charlie Plummer, Cory Nichols, Christian Madsen, Danny Flaherty, Erin Davie, Chloe Levine",United States,2015,NR,81 min,"Dramas, Independent Movies"
7211,Movie,Kings,Deniz Gamze Ergüven,"Halle Berry, Daniel Craig, Lamar Johnson, Kaalan Walker, Rachel Hilson, Issac Ryan Brown, Callan Farris, Serenity Reign Brown, Reece Cody, Aiden Akpan","France, Belgium, China, United States",2017,R,87 min,Dramas
7213,Movie,Kiss the Girls,Gary Fleder,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur, Tony Goldwyn, Jay O. Sanders, Bill Nunn, Brian Cox",United States,1997,R,116 min,Thrillers
7218,Movie,Knock Knock,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns, Ignacia Allamand, Dan Baily, Megan Baily, Colleen Camp, Antonio Quercia","United States, Chile, Israel",2015,R,99 min,"Horror Movies, Thrillers"
7234,Movie,Krisha,Trey Edward Shults,"Krisha Fairchild, Alex Dobrenko, Robyn Fairchild, Chris Doubek, Victoria Fairchild, Bryan Casserly, Chase Joliet, Atheena Frizzell, Augustine Frizzell, Bill Wise, Olivia Grace Applegate, Trey Edward Shults",United States,2015,R,81 min,"Dramas, Independent Movies"
7236,Movie,Kristy,Oliver Blackburn,"Haley Bennett, Ashley Greene, Erica Ash, Lucas Till, Chris Coy, Al Vicente, Wayne Pére, Jon Arthur, Mike Seal",United States,2013,NR,85 min,Horror Movies
7237,Movie,Krystal,William H. Macy,"Rosario Dawson, Nick Robinson, Jacob Latimore, Grant Gustin, William H. Macy, Kathy Bates, Felicity Huffman, William Fichtner, T.I., Rick Fox, Amy Parrish",United States,2017,R,93 min,"Comedies, Dramas"
7239,Movie,Kung Fu Hustle,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Lam Chi-chung, Dong Zhihua, Chiu Chi-ling, Xing Yu, Danny Chan Kwok-kwan, Leung Siu-lung","Hong Kong, China, United States",2004,R,99 min,"Action & Adventure, Comedies, Cult Movies"
7271,Movie,Last Night,Massy Tadjedin,"Keira Knightley, Sam Worthington, Guillaume Canet, Eva Mendes, Griffin Dunne, Anson Mount, Stephanie Romanov, Scott Adsit, Daniel Eric Gold","United States, France",2010,R,93 min,"Dramas, Independent Movies, Romantic Movies"
7286,Movie,Legion,Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki, Charles S. Dutton, Jon Tenney, Kevin Durand, Willa Holland, Kate Walsh, Dennis Quaid, Jeanette Miller, Cameron Harlow, Doug Jones, Josh Stamberg, Yancey Arias",United States,2010,R,100 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
7298,Movie,Life After Beth,Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon, Cheryl Hines, Paul Reiser, Matthew Gray Gubler, Anna Kendrick, Paul Weitz",United States,2014,R,89 min,"Comedies, Horror Movies, Independent Movies"
7306,Movie,Lila & Eve,Charles Stone III,"Viola Davis, Jennifer Lopez, Andre Royo, Shea Whigham, Aml Ameen, Chris Chalk, Will Brittain, Michole Briana White, Julius Tennon, Gino Vento, Yolonda Ross",United States,2015,R,94 min,"Dramas, Thrillers"
7320,Movie,Little Sister,Zach Clark,"Addison Timlin, Ally Sheedy, Keith Poulson, Peter Hedges, Barbara Crampton, Kristin Slaysman, Molly Plunk",United States,2016,NR,91 min,"Comedies, Dramas, Independent Movies"
7327,Movie,Locke,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott, Ben Daniels, Tom Holland, Bill Milner, Danny Webb, Alice Lowe, Silas Carson","United Kingdom, United States",2013,R,85 min,"Dramas, Independent Movies"
7332,Movie,Lolita,Stanley Kubrick,"James Mason, Shelley Winters, Peter Sellers, Sue Lyon, Gary Cockrell, Jerry Stovin, Diana Decker, Lois Maxwell, Cec Linder","United Kingdom, United States",1962,R,153 min,"Classic Movies, Dramas, Romantic Movies"
7365,Movie,Mac & Devin Go to High School,Dylan C. Brown,"Snoop Dogg, Wiz Khalifa, Mike Epps, Teairra Mari, Derek Kane, Luenell, Teni Panosian, Paul Iacono, Andy Milonakis, Mystikal",United States,2012,R,76 min,Comedies
7367,Movie,Mad Max,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Tim Burns, Roger Ward, Lisa Aldenhoven, Bertrand Cadart","Australia, United States",1979,R,93 min,"Action & Adventure, Classic Movies, Cult Movies"
7370,Movie,Mad Ron's Prevues from Hell,Jim Monaco,"Nick Pawlow, Jordu Schell, Jay Kushwara, Michael Townsend Wright, Anthony Kelly, Happy Goldsplatt, Ron Roccia, Fred Pomerleau, Joe Amodei, Nicholas Kitsopoulos",United States,1987,NR,84 min,"Cult Movies, Horror Movies"
7390,Movie,Man of Tai Chi,Keanu Reeves,"Keanu Reeves, Tiger Chen, Karen Mok, Simon Yam, Qing Ye, Hai Yu, Sam Lee, Iko Uwais","United States, China, Hong Kong",2013,R,105 min,"Action & Adventure, Dramas"
7403,Movie,Marauders,Steven C. Miller,"Bruce Willis, Christopher Meloni, Dave Bautista, Adrian Grenier, Johnathon Schaech, Lydia Hull, Tyler Jon Olson, Christopher Rob Bowen, Richie Chance","Canada, United States",2016,R,107 min,Action & Adventure
7411,Movie,Martin Lawrence Live: Runteldat,David Raynr,Martin Lawrence,United States,2002,R,104 min,Stand-Up Comedy
7431,Movie,Mean Streets,Martin Scorsese,"Robert De Niro, Harvey Keitel, David Proval, Amy Robinson, Richard Romanus, Cesare Danova, Victor Argo, George Memmoli",United States,1973,R,112 min,"Classic Movies, Dramas, Independent Movies"
7439,Movie,Melvin Goes to Dinner,Bob Odenkirk,"Michael Blieden, Stephanie Courtney, Annabelle Gurwitch, Matt Price, David Cross, Maura Tierney, Kathleen Roll, Jack Black, Jenna Fischer, Fred Armisen",United States,2003,R,84 min,"Comedies, Dramas, Independent Movies"
7456,Movie,Milk,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce",United States,2008,R,128 min,"Dramas, Independent Movies, LGBTQ Movies"
7470,Movie,Miss Stevens,Julia Hart,"Lily Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nuñez, Rob Huebel",United States,2016,NR,86 min,"Dramas, Independent Movies"
7474,Movie,Mississippi Grind,"Anna Boden, Ryan Fleck","Ryan Reynolds, Ben Mendelsohn, Sienna Miller, Analeigh Tipton, Alfre Woodard, James Toback, Robin Weigert",United States,2015,R,109 min,"Dramas, Independent Movies"
7477,Movie,Mojave,William Monahan,"Garrett Hedlund, Oscar Isaac, Louise Bourgoin, Walton Goggins, Mark Wahlberg, Fran Kranz",United States,2015,R,93 min,"Dramas, Independent Movies, Thrillers"
7479,Movie,Molly's Game,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Jeremy Strong, Chris O'Dowd, J.C. MacKenzie, Brian d'Arcy James, Bill Camp, Graham Greene, Justin Kirk, Brian d’Arcy James","China, Canada, United States",2017,R,141 min,Dramas
7482,Movie,Money,Martin Rosete,"Kellan Lutz, Jess Weixler, Jesse Williams, Jamie Bamber, Lucía Guerrero, Fredric Lehne","United States, Spain",2016,R,84 min,Thrillers
